ID,Residence_Type,ECF,Street Address,Sale_Date,Price,Type,Class,Year_Built,Square_Feet,Basement_Square_Feet,Basement_Finished_Recreation,Basement_Finished_Living,Full_Baths,Half_Baths,Price_per_sqft
03E_03-301-006_105,House,03E,120 Ottawa ,8/27/2018,240000,Ranch,C,1958,1430,1200,550,0,1,1,167.83
03E_03-153-018_106,House,03E,167 Booth ,4/19/2018,238000,Ranch,C,1965,1466,1250,0,0,1,1,162.35
03E_03-176-008_107,House,03E,416 Lovell ,11/17/2017,255000,Ranch,C,1956,1684,1376,0,0,1,1,151.43
03E_03-178-019_108,House,03E,371 Booth ,9/8/2017,232000,Ranch,C,1955,1816,0,0,0,2,0,127.75
03E_03-302-030_109,House,03E,335 Ottawa ,4/14/2017,262000,Ranch,C,1960,1820,1560,0,0,2,0,143.96
03E_03-326-007_110,House,03E,420 Booth ,2/19/2019,233050,Ranch,C,1956,2034,0,0,0,2,0,114.58
03E_03-302-014_111,House,03E,6311 Donaldson ,6/29/2018,315000,Ranch,C,1960,2047,1228,0,0,3,0,153.88
03E_03-176-011_112,House,03E,476 Lovell ,9/25/2017,290000,Ranch,C,1966,2462,0,0,0,3,0,117.79
03E_03-152-002_113,House,03E,6550 Livernois ,11/6/2017,270000,T-Quad,C,1968,1971,675,0,0,2,1,136.99
03E_03-151-022_114,House,03E,245 Lesdale ,11/5/2018,294000,T-Quad,C,1963,2222,840,0,0,3,0,132.31
03E_03-101-019_115,House,03E,83 Lovell ,7/20/2018,260000,Tri-Level,C,1975,1460,0,0,0,1,1,178.08
03E_03-176-018_116,House,03E,375 Lesdale ,4/20/2018,270000,Tri-Level,C,1961,1773,0,0,0,2,0,152.28
03G_03-101-046_117,House,03G,6844 Fieldstone ,6/15/2018,405700,Colonial,C,1993,2991,1690,0,0,3,0,135.64
03G_03-102-016_118,House,03G,6825 Fieldstone ,7/23/2018,410900,Colonial,C,1994,3268,1853,1400,0,3,1,125.73
03J_03-401-044_119,House,03J,792 Quill Creek ,8/13/2018,548000,Colonial,BC,2004,3600,1813,0,0,3,1,152.22
03J_03-401-052_120,House,03J,6317 Peacock ,9/14/2017,665000,Colonial,BC,2010,3635,1823,1360,0,4,1,182.94
03J_03-401-046_121,House,03J,828 Quill Creek ,3/12/2018,579000,Colonial,BC,2005,3687,1847,0,0,3,1,157.04
04A_04-477-010_122,House,04A,6091 Niles ,12/3/2018,318800,Colonial,C,1979,2100,1138,0,0,2,1,151.81
04A_04-477-016_123,House,04A,6010 Blackwall ,2/22/2019,367500,Ranch,C,1986,1667,1647,1500,0,3,0,220.46
04B_04-156-004_124,House,04B,915 Keaton ,10/15/2018,370000,Colonial,C,1986,2504,1262,0,0,2,1,147.76
04B_04-154-004_125,House,04B,777 Bridge Park ,12/19/2018,417000,Colonial,C,1979,2547,995,220,0,2,1,163.72
04B_04-152-024_126,House,04B,770 Bridge Park ,10/30/2018,419000,Colonial,C,1985,2787,1062,0,0,2,1,150.34
04B_04-177-024_127,House,04B,6730 Whiting ,4/18/2017,445000,Colonial,C,1984,2809,1083,1000,0,2,1,158.42
04B_04-152-014_128,House,04B,895 Selby ,7/2/2018,430000,Colonial,C,1978,2843,1126,700,0,2,1,151.25
